id,name,description
116,Absolute Secure Endpoint,"Endpoint Protection Suites, Endpoint Management, Unified Endpoint Management (UEM), Endpoint Protection Platforms"
117,Abyssale,"Creative Management Platforms, Content Creation"
118,AcaStat,Statistical Analysis
119,Acadle,"Corporate Learning Management Systems, Customer Education"
120,Acceldata,"Database Monitoring, Data Observability"
121,Accenture HR Audit and Compliance as-a-service,SAP Store
122,Accenture HR Data Loader,SAP Store
123,Access Workspace,Core HR
124,Accio Enterprise,Background Check
125,Acclaim Projects by Sopheon,Project Management
126,Accomplish EP,"Time \\u0026 Attendance, Benefits Administration, Core HR, Payroll, Performance Management, Employee Engagement"
127,Accops HyWorks,Server Virtualization
128,Accord - Affordable Care Act (ACA) Compliance Software,"Other HR, Healthcare Compliance"
129,AccuMail Frameworks,"Other Email, Address Verification"
130,AccuStore Task Management,Retail Task Management
131,Accumulo,"Key Value Databases, Wide Column Database"
132,Ace Cloud Application Hosting,Cloud Hosting
133,Ace Data Devices,"Online Backup, Database Backup, Server Backup, PC Backup, Disaster Recovery as a Service (DRaaS), Archive Storage Solutions"
134,Ace Metrix,"Content Marketing Agencies, Marketing Strategy, Digital Marketing"
135,Ace Turtle,Omnichannel Commerce
136,Achieve,Academic Advising
137,Acho,Data Warehouse
138,Acme AI,Data Labeling Services
139,Acodis,"OCR, Text Analysis, Data Extraction, Intelligent Document Processing (IDP)"
140,Acquia Customer Data Platform,"Customer Journey Mapping, Personalization Engines, Digital Experience Platforms (DXP), Customer Journey Analytics, Customer Data Platform (CDP), Digital Asset Management, Marketing Automation"
141,Acronis Cyber Protect (includes all features of Acronis Cyber Backup),"Patch Management, Endpoint Management, Antivirus, Data Replication, Disaster Recovery, Online Backup, Server Backup, File Recovery"
142,Acronis Cyber Protect Cloud,"Cloud Data Security, Server Backup, SaaS Backup, Patch Management, Endpoint Detection \\u0026 Response (EDR), Cloud Email Security"
143,Acronis Cyber Protect Home Office (formerly Acronis True Image),"Hard Drive Cloning, Online Backup, PC Backup"
144,Acronis Disk Director,"Hard Drive Cloning, Hard Drive Partitioning"
145,Acryl Data,Data Governance
146,Acterys,"Corporate Performance Management (CPM), Budgeting and Forecasting"
147,Actian Data Platform,Data Warehouse
148,Actian DataConnect,"iPaaS, ETL Tools, On-Premise Data Integration"
149,Actian NoSQL,Object-Oriented Databases
150,Actian X,Database Management Systems (DBMS)
151,Actian Zen,Relational Databases
152,Actifio,"Build Automation, Database Management Systems (DBMS)"
153,ActionIQ,Customer Data Platform (CDP)
154,Actito,"Marketing Platforms, E-Commerce Personalization, Marketing Analytics, Marketing Automation, Customer Data Platform (CDP), Personalization, Personalization Engines, Mobile Marketing"
155,Activ Select,GRC Tools
156,Activation Studio,"Lead Scoring, Salesforce AppExchange Apps, Customer Data Platform (CDP)"
157,Active KillDisk,Data Destruction
158,Active Query Builder,Component Libraries
159,Active Trader Pro,Brokerage Trading Platforms
160,Active@Disk Image,"Hard Drive Cloning, File Recovery"
161,ActiveBatch Workload Automation,"Data Warehouse Automation, Workload Automation, Managed File Transfer (MFT)"
162,ActivePrime,Data Quality
163,Acuative,"Unified Communication VARs, IT Infrastructure Utility Services, Managed IT Services, Cloud Migration Services, Managed Security Services (MSSP), Cisco Unified Communications Resellers, Cisco Hardware Resellers, Cisco Data Center Resellers, Cisco Cloud Resellers, Cybersecurity Consulting, Management Consulting, IT Outsourcing, Managed Services, Managed IoT Services"
164,Ad Astra,Academic Scheduling
165,AdLib DSP,"Data Management Platform (DMP), Demand Side Platform (DSP), Digital Audio Advertising, Video Advertising, Cross-Channel Advertising"
166,AdStage for G Suite,Google Workspace for Marketing
167,AdSystem,CRM
168,AdValue,Project Management Tools
169,Adalyz,"Affiliate Marketing, Marketing Analytics"
170,Adaptive,ERP Systems
171,Adastra,"IBM Consulting Services, AWS Consulting Services, Google Consulting Services, Oracle Consulting Services, Microsoft Consulting Services, IoT Implementation Services, IoT Consulting Services, Software Developer Services, Data Governance Services, Managed IT Services, Cloud Migration Services, Artificial Intelligence Consulting, Supply Chain Strategy and Operations Consulting, Amazon Web Services Channel Partners, Testing and QA, IT Strategy Consulting, Digital Transformation Consulting, Cloud Consulting, Business Intelligence (BI) Consulting, IT Outsourcing, Robotic Process Automation (RPA) Consultancy Services"
172,Addend Analytics,"Microsoft Dynamics 365 Business Central Resellers, Microsoft Consulting Services, Microsoft Dynamics NAV Resellers"
173,Address Validator,Address Verification
174,AddressZen Address Lookup,Address Verification
175,Adele,"Location Intelligence, Digital Twin"
176,Adeona PIM,Product Information Management (PIM)
177,Adept Dynamics,"Microsoft Consulting Services, Business Intelligence (BI) Consulting, Digital Transformation Consulting"
178,Adform Creative Management Platform (Ad Server),Publisher Ad Server
179,Adform Integrated Advertising Platform,"Cross-Channel Advertising, Demand Side Platform (DSP), Video Advertising, Mobile Advertising, Display Advertising, Supply Side Platform (SSP), Data Management Platform (DMP), Publisher Ad Server"
180,Admers,Marketing Analytics
181,Admetricks,Digital Advertising Intelligence
182,Admin,Mobile Device Management (MDM)
183,Admixer.DSP,Demand Side Platform (DSP)
184,Adobe Audience Manager,Data Management Platform (DMP)
185,Adobe PDF Library by Datalogics,PDF SDKs
186,Adsquare,"Mobile Advertising, Mobile Marketing, Location Platform"
187,Advance Practice Management Suite,Accounting Practice Management
188,AdvanceFlow,Financial Audit
189,Advanced Installer,Repository Management
190,Advanced Query Tool,Database Management Systems (DBMS)
191,Advanced Web Ranking,SEO Tools
192,AdvancedMiner,Other Analytics
193,Advantage Database Server,"Relational Databases, Database Management Systems (DBMS)"
194,Adverity,"SAP Store, Big Data Integration Platforms, E-Commerce Data Integration, ETL Tools, Google Workspace for Marketing, Marketing Analytics, Digital Analytics"
195,AdvizorPro,Other Finance \\u0026 Insurance
196,Aeqium,Compensation Management
197,Aeries Analytics,Other Education
198,Aeries CARS,"Mechanical Computer-aided Design (MCAD), Building Design and Building Information Modeling (BIM), Product Data Management (PDM)"
199,Aerospike,"Key Value Databases, Real-time Analytic Database, Document Databases, Graph Databases, Database Management Systems (DBMS), Time Series Databases, Big Data Processing and Distribution"
200,Affinda,OCR
201,Affinitext,"Contract Analytics, Contract Management"
202,Affino CRM,"Email Marketing, CRM"
203,Affise,"Affiliate Marketing, Partner Management, Digital Analytics"
204,Affogata,"Competitive Intelligence, Media Monitoring, Social Media Listening Tools, Audience Intelligence Platforms"
205,Afforai,"AI Chatbots, Natural Language Understanding (NLU)"
206,Ag Grid,JavaScript Web Frameworks
207,Again Again Agency,Digital Marketing
208,Agency,"Endpoint Protection Suites, Employee Identity Theft Protection"
209,AgencyAnalytics,"Marketing Analytics, SEO Tools, Data Visualization"
210,AgencyOrganizer,CRM
211,Agenda,Other Reservations
212,Agentnoon,"Workforce Planning, Org Chart, Workforce Management"
213,AggreGate,"IoT Device Management Platforms, IoT Analytics Platforms"
214,Aggua,"Active Metadata Management, DataOps Platforms, Data Fabric, Data Mapping, Data Governance, Machine Learning Data Catalog, Data Quality"
215,Agicap,"Cash Flow Management, Accounts Receivable, Accounts Payable (AP) and Spend Analysis"
216,AgilerMe,Other Agriculture
217,Agilio OVS Firewall,"Firewall Software, Data Center Security Solutions"
218,Agility PR Solutions,"Media Monitoring, Media and Influencer Targeting, PR Analytics, Press Release Distribution"
219,Agilysys DataMagine,Cloud Content Collaboration
220,Agisoft PhotoScan,Photogrammetry
221,Agni Link CAD/PDM/PLM-to-ERP Data Integration System,"CAD Data Exchange, General-Purpose CAD"
222,Ahshay,Insurance Claims Management
223,AiPortal,AI Image Generators
224,Aibidia TXM,Other Finance \\u0026 Admin.
225,AidaForm,"Online Form Builder, Lead Capture, Survey"
226,AirCheck Wi-Fi Tester for Android,Mobile Data Security
227,AirData,Aviation MRO
228,AirVantage IoT Platform,"IoT Device Management Platforms, IoT Connectivity Management"
229,Airapi,"Banking as a Service (BaaS), Financial Data APIs"
230,Airbyte,ETL Tools
231,Aircloak Insights,Data De-Identification
232,Aircraft Cost Calculator,Aviation MRO
233,Airmeet,"Virtual Event Platforms, Event Networking and Matchmaking, Webinar, Mobile Event Apps, Event Registration \\u0026 Ticketing, Event Management Platforms, Event Marketing"
234,AirportTransfer.com,Other Transportation
235,Airslip,Financial Data APIs
236,Airstory,Note-Taking Management
237,Aiseesoft MobieSync,Other IT Management
238,Aisera,"Proactive Customer Retention, Intelligent Virtual Assistants, AIOps Platforms, Chatbots, Customer Self-Service, Enterprise Search Software"
239,Aiven for Apache Cassandra,Database as a Service (DBaaS)
240,Aiven for PostgreSQL,"Database Management Systems (DBMS), Relational Databases"
241,Akamai DNSi Big Data Connector,Big Data Integration Platforms
242,Akamai DataStream,Stream Analytics
243,Akamai Enterprise Application Access,"Zero Trust Networking, Single Sign-On (SSO), Cloud Access Security Broker (CASB)"
244,Akamai Enterprise Threat Protector,"Cloud Workload Protection Platforms, User and Entity Behavior Analytics (UEBA), DNS Security Solutions"
245,Akamai IoT Edge Connect,IoT Edge Platforms
246,Akamai Prolexic Routed,DDoS Protection
247,Akeneo PIM,"Product Information Management (PIM), Master Data Management (MDM), Catalog Management, SAP Store"
248,Akkio,"Data Science and Machine Learning Platforms, Predictive Analytics"
249,Akku,"Cloud File Security, Cloud Compliance, Business Continuity Management, Risk-Based Authentication (RBA), Identity and Access Management (IAM), User Provisioning and Governance Tools"
250,Akto,"API Security, Other IT Management, Dynamic Application Security Testing (DAST), Interactive Application Security Testing (IAST)"
251,Alation,"Active Metadata Management, Data Governance, Machine Learning Data Catalog"
252,Alavi.ai,Other Marketing
253,Albacross,"Account-Based Advertising, Lead Capture, Buyer Intent Data Providers, Account-Based Analytics, Marketing Analytics, Lead Mining, Visitor Identification"
254,Albatross Cloud,"Desktop as a Service (DaaS), Managed Hosting"
255,Alchemer Survey,Survey
256,Alchemy Cloud,"LIMS, Electronic Lab Notebook (ELN)"
257,Alcion Backup for Microsoft 365,SaaS Backup
258,AlgoDocs,"OCR, Intelligent Document Processing (IDP)"
259,AlgosOne,"Brokerage Trading Platforms, Financial Predictive Analytics"
260,Alibaba ApsaraDB RDS for MySQL,"Database Monitoring, Database Security, Document Databases, Relational Databases, Database as a Service (DBaaS), Key Value Databases"
261,Alibaba Cloud CDN,Content Delivery Network (CDN)
262,Alibaba Data Integration,"iPaaS, Data Exchange Platforms"
263,Alibaba Distributed Relational Database Service,"Database as a Service (DBaaS), Relational Databases"
264,Alibaba Elastic Compute Service,"Infrastructure as a Service (IaaS), Virtual Private Cloud (VPC)"
265,Alibaba Key Management Service,Encryption Key Management
266,Alibaba MaxCompute,Big Data Processing and Distribution
267,Alibaba Message Service,Message Queue (MQ)
268,Alibaba Object Storage Service,Object Storage Solutions
269,Alibaba Web Application Firewall,Web Application Firewall (WAF)
270,Align.ly Attribution,"Attribution, Account-Based Analytics, Account Data Management, Salesforce AppExchange Apps"
271,All in One WP Migration,Other Development
272,AllVoices,"Employee Engagement, HR Case Management, Whistleblowing"
273,Allegro Design Entry Capture/Capture CIS,PCB Design
274,Allegro PSpice Simulator,PCB Design
275,Allegro Sigrity SI Base,PCB Design
276,Allegro library,"Gaming Tools, Audio Engine"
277,Alliance Imager,Document Creation
278,Allo,Construction Data Analytics
279,Alloy,"Financial Risk Management, Financial Data APIs, Identity Verification"
280,Alloy Automation,"Embedded Integration Platforms, iPaaS, ETL Tools, Unified APIs"
281,Alloy.ai,"Demand Planning, Retail Analytics"
282,Allstacks,"Software Development Analytics Tools, Strategic Planning and Execution, Value Stream Management"
283,Alma SIS,K-12 Student Information Systems
284,Alooba,Technical Skills Screening
285,Alpha Anywhere,"Application Development Platforms, Mobile Forms Automation, Mobile Development Platforms, Low-Code Development Platforms, No-Code Development Platforms"
286,Alpha Portal,Foodservice Distribution
287,AlphaSense,"Financial Research, Market Intelligence, Media Monitoring, Cloud Content Collaboration, Enterprise Search Software, AI Chatbots"
288,Alpine Achievement: Data Analysis System,K-12 Student Information Systems
289,AltSource,"Cross-Platform Developers, Android Developers, iOS Developers, Windows Developers, Internet of Things (IoT) Developers, .NET Developers, JavaScript Developers, Java Development, Node.js Developers, Sitecore Developers, PHP Developers, Digital Transformation Consulting, Contact Center Consulting, Cloud Consulting, IT Strategy Consulting, IoT Consulting Services"
290,AltText.ai,SEO Tools
291,Alta AI,Chatbots
292,AltaPoint,Veterinary Practice Management
293,Altair Monarch,"Data Preparation, Data Extraction"
294,Altair RapidMiner,"Text Analysis, Data Science and Machine Learning Platforms, Predictive Analytics, Analytics Platforms"
295,Altera Digital Health - EHR,EHR
296,Alteria Agency,Software Developer Services
297,Alteryx,"Data Preparation, Location Intelligence, Big Data Analytics, Data Science and Machine Learning Platforms, Predictive Analytics, Analytics Platforms"
298,Altibase HDB,Relational Databases
299,Altium 365,"PCB Design, Product Data Management (PDM), Mechanical Computer-aided Design (MCAD)"
300,Altova DatabaseSpy,Database Comparison
301,Altova MissionKit,XML Databases
302,Altvia,"Financial Services CRM, Financial Analysis, Financial Analytics, Virtual Data Room"
303,Alumio,iPaaS
304,Amaka,E-Commerce Data Integration
305,Amalia,Sales Compensation
306,AmazingHiring,"Diversity Recruiting, Recruiting Automation, Talent Intelligence"
307,Amazon AWS Platform,Data Integration Tools
308,Amazon AppFlow,Other IT Infrastructure
309,Amazon Athena,"Database as a Service (DBaaS), Database Management Systems (DBMS)"
310,Amazon Aurora,"Database as a Service (DBaaS), Relational Databases"
311,Amazon Cloud Directory,Cloud Directory Services
312,Amazon CloudFront,Content Delivery Network (CDN)
313,Amazon DocumentDB,"Database as a Service (DBaaS), Document Databases"
314,Amazon DynamoDB,"Document Databases, Database as a Service (DBaaS), Key Value Databases"
315,Amazon DynamoDB Accelerator (DAX),Web Server Accelerator
316,Amazon EMR,Big Data Processing and Distribution
317,Amazon ElastiCache,"Database as a Service (DBaaS), Data Replication, Key Value Databases"
318,Amazon FSx for Lustre,Cloud File Storage
319,Amazon Keyspaces,Wide Column Database
320,Amazon Kinesis Data Analytics,"Event Stream Processing, Stream Analytics"
321,Amazon Kinesis Data Firehose,"Stream Analytics, Event Stream Processing, ETL Tools"
322,Amazon Kinesis Data Streams,"Event Stream Processing, Stream Analytics"
323,Amazon Kinesis Video Streams,Other Video
324,Amazon Lightsail,"AWS Marketplace, Object Storage Solutions, Load Balancing, Database as a Service (DBaaS), Virtual Private Servers (VPS), Block Storage"
325,Amazon Macie,Security and Privacy Services
326,Amazon Managed Streaming for Apache Kafka (Amazon MSK),"Event Stream Processing, Stream Analytics"
327,Amazon Marketing Cloud,Data Clean Room
328,Amazon Neptune,"Graph Databases, Database as a Service (DBaaS)"
329,Amazon Quantum Ledger Database (QLDB),Database as a Service (DBaaS)
330,Amazon QuickSight,"Embedded Business Intelligence, Analytics Platforms, Predictive Analytics"
331,Amazon Redshift,"Columnar Databases, Data Warehouse, Big Data Integration Platforms"
332,Amazon Relational Database Service (RDS),"Database as a Service (DBaaS), Relational Databases"
333,Amazon S3 Glacier,"Archive Storage Solutions, Object Storage Solutions"
334,Amazon SageMaker,"MLOps Platforms, Data Science and Machine Learning Platforms"
335,Amazon Simple Queue Service (SQS),Proactive Notification
336,Amazon Simple Storage Service (S3),Object Storage Solutions
337,Amazon Textract,"OCR, Intelligent Document Processing (IDP)"
338,Amazon Timestream,"Time Series Databases, Database as a Service (DBaaS)"
339,Amazon WorkDocs,Document Databases
340,Amazon WorkLink,Mobile Data Security
341,Amber Engine,Product Information Management (PIM)
342,AmberLeaf,"Other Marketing Services, Business Intelligence (BI) Consulting"
343,Ambire AdEx (formerly AdEx Network),Ad Network
344,Ambra Health,Radiology Information Systems
345,AmigoCloud,Location Intelligence
346,Amobee,"Cross-Channel Advertising, Demand Side Platform (DSP), Display Advertising, Mobile Advertising, Social Media Advertising, Video Advertising, Data Management Platform (DMP)"
347,Amperity,"Customer Data Platform (CDP), Identity Resolution"
348,AmplifAI,"Data Visualization, Gamification, Contact Center Workforce, Contact Center Quality Assurance, Sales Performance Management"
349,Amplify Platform,"API Management, API Marketplace, Financial Data APIs"
350,Ampliz APAC Intelligence,Sales Intelligence
351,Anaconda,Data Science and Machine Learning Platforms
352,Analance™ Advanced Analytics,"Predictive Analytics, Analytics Platforms, Data Science and Machine Learning Platforms"
353,Analytics Canvas,Other Analytics
354,Analytics4now,Digital Analytics
355,AnalyticsBox,Other Analytics
356,AnalyticsCreator,Data Warehouse Automation
357,AnalyticsVerse,Software Development Analytics Tools
358,AnalytixLabs Gurgaon,Other B2B Services
359,Anchanto Warehouse Management,Warehouse Management
360,Anchor Computer,Address Verification
361,Angles Enterprise for Oracle,"ETL Tools, Data Mapping, Data Warehouse, On-Premise Data Integration"
362,Ango Hub,Data Labeling
363,Angular,"PHP Integrated Development Environments (IDE), JavaScript Web Frameworks, PHP Web Frameworks"
364,Annoy,Machine Learning
365,Anomalo,"Data Quality, Data Observability, Database Monitoring"
366,Anonos Data Embassy,Data De-Identification
367,Ansarada,"Virtual Data Room, Legal Transaction Management"
368,AnswerDock,"Embedded Business Intelligence, Analytics Platforms"
369,AnswerMiner,Analytics Platforms
370,Ansys EnSight,Other CAD
371,Ansys Engineering Knowledge Manager,Other CAD
372,Ansys GRANTA MI Pro,PLM
373,Ansys GRANTA Materials Data for Simulation,PLM
374,Ansys Sherlock,Simulation \\u0026 CAE
375,Anteriad Marketing Cloud,"Account Data Management, Buyer Intent Data Providers"
376,Anthology Beacon,"Academic Advising, Assessment"
377,Anthology Finance \u0026 HCM,"Education HR, Education Finance Software, Education ERP Suites"
378,Anura.io,Click Fraud
379,Anveo,VoIP
380,Anvil,"Mobile Forms Automation, E-Signature, API Documentation Management, Document Management"
381,Anvizent,"Data Warehouse, Big Data Integration Platforms"
382,Anvyl,"Supplier Relationship Management (SRM), Supply Chain Visibility, Strategic Sourcing, Purchasing, SAP Store"
383,AnyBiz.io,Other Lead Generation
384,AnyChart JS Charts,"Data Visualization Libraries, JavaScript Web Frameworks, Embedded Business Intelligence, Data Visualization"
385,"AnyGantt JS Gantt, Resource, PERT Charts",JavaScript Web Frameworks
386,AnyMP4 Blu-ray Player,Other Video
387,AnyMP4 DVD Converter,Other Video
388,AnyMP4 MP4 Converter,Other Video
389,AnyMP4 MP4 Converter for Mac,Other Video
390,AnyMP4 MTS Converter,File Converter
391,AnyMap JS Maps,"JavaScript Web Frameworks, Embedded Business Intelligence"
392,AnyRoad,"Event Marketing, Tour Operator, Event Registration \\u0026 Ticketing, Online Appointment Scheduling, Event Management Platforms, Feedback Analytics, Enterprise Feedback Management"
393,AnyStock - data visualization solution for financial data,Other Finance \\u0026 Insurance
394,Anzo,"Data Fabric, Data Preparation, Machine Learning Data Catalog"
395,Apache Ambari,Big Data Processing and Distribution
396,Apache Anakia,XML Databases
397,Apache Apex,Big Data Processing and Distribution
398,Apache Arrow,"Java Integrated Development Environments (IDE), C/C++ Integrated Development Environments (IDE), Python Integrated Development Environments (IDE)"
399,Apache AsterixDB,Big Data Processing and Distribution
400,Apache Axiom,XML Databases
401,Apache Beam,Big Data Processing and Distribution
402,Apache Calcite,Relational Databases
403,Apache Cassandra Node for Ubuntu 18.04 with support by Kurian,AWS Marketplace
404,Apache Clerezza,Java Web Frameworks
405,Apache Drill,"Database Management Systems (DBMS), Document Databases, AWS Marketplace"
406,Apache Eagle,IT Alerting
407,Apache Edgent,Runtime
408,Apache Flink,"Java Web Frameworks, Stream Analytics"
409,Apache Geode,Database Management Systems (DBMS)
410,Apache Giraph,"RDF Databases, Graph Databases"
411,Apache HAWQ,Relational Databases
412,Apache Ignite,"Key Value Databases, Relational Databases, Database Management Systems (DBMS), Database Monitoring"
413,Apache Lucy,Other Non-Relational Databases
414,Apache Marmotta,RDF Databases
415,Apache Mesos,"Container Orchestration, Container Engine"
416,Apache MetaModel,Database Management Systems (DBMS)
417,Apache NiFi,"Big Data Integration Platforms, ETL Tools"
418,Apache OODT,Object-Oriented Databases
419,Apache OpenOffice Calc,Spreadsheets
420,Apache Parquet,Columnar Databases
421,Apache Phoenix,"Relational Databases, Other Analytics"
422,Apache Pig,Big Data Analytics
423,Apache Ranger,Data Governance
424,Apache RocketMQ,Message Queue (MQ)
425,Apache Scout,XML Databases
426,Apache Sentry,Risk-Based Authentication (RBA)
427,Apache Spark for Azure HDInsight,Big Data Processing and Distribution
428,Apache Sqoop,Big Data Integration Platforms
